Page fault occurrence,,,,,,,,,,,,,,
Round,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,11,8,11,,,,,,,,,,,
3,10,8,11,,,,,,,,,,,
4,9,7,9,,,,,,,# process,12,FIFO,OPT,LRU
5,11,8,11,,,,,,,# page,2,7,7,9
6,10,8,10,,,,,,,,3,10,6,8
7,11,9,11,,,,,,,,4,5,5,5
8,8,6,7,,,,,,,,5,5,3,4
9,10,8,10,,,,,,,,,,,
10,10,8,11,,,,,,,,,,,
AVG : ,9,7,9,,,,,,,,,,,
# process,12,,,,,,,,,,,,,
# page,3,,,,,,,,,,,,,
Page fault occurrence,,,,,,,,,,,,,,
Round,FIFO,OPT,LRU,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,6,5,6,,,,,,,,,,,
3,7,6,7,,,,,,,,,,,
4,6,5,6,,,,,,,,,,,
5,10,7,8,,,,,,,,,,,
6,6,6,7,,,,,,,,,,,
7,6,7,9,,,,,,,,,,,
8,8,6,9,,,,,,,,,,,
9,7,8,9,,,,,,,,,,,
10,8,6,8,,,,,,,,,,,
AVG : ,7,6,7,,,,,,,,,,,
# process,12,,,,,,,,,,,,,
# page,4,,,,,,,,,,,,,
Page fault occurrence,,,,,,,,,,,,,,
Round,FIFO,OPT,LRU,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,8,7,8,,,,,,,,,,,
3,6,6,6,,,,,,,,,,,
4,6,7,7,,,,,,,,,,,
5,5,6,7,,,,,,,,,,,
6,4,5,5,,,,,,,,,,,
7,5,6,7,,,,,,,,,,,
8,8,6,7,,,,,,,,,,,
9,7,7,8,,,,,,,,,,,
10,7,5,7,,,,,,,,,,,
AVG : ,6,6,6,,,,,,,,,,,
# process,12,,,,,,,,,,,,,
# page,5,,,,,,,,,,,,,
Page fault occurrence,,,,,,,,,,,,,,
Round,FIFO,OPT,LRU,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,4,6,7,,,,,,,,,,,
3,4,5,5,,,,,,,,,,,
4,5,7,7,,,,,,,,,,,
5,4,6,6,,,,,,,,,,,
6,5,6,6,,,,,,,,,,,
7,4,6,6,,,,,,,,,,,
8,5,5,5,,,,,,,,,,,
9,5,5,5,,,,,,,,,,,
10,5,6,6,,,,,,,,,,,
AVG : ,4,5,5,,,,,,,,,,,
